"tax.Phylum"	"tax.Class"	"tax.Order"	"tax.Family"	"tax.Genus"	"otu.T1.dry"	"otu.T1.wet"	"otu.T1.dry.1"	"otu.T1.wet.1"	"otu.T1.dry.2"	"otu.T1.wet.2"	"otu.T7.dry"	"otu.T7.wet"	"otu.T7.dry.1"	"otu.T7.wet.1"	"otu.T7.dry.2"	"otu.T7.wet.2"	"otu.DF.dry"	"otu.DF.wet"	"otu.DF.dry.1"	"otu.DF.wet.1"	"otu.DF.dry.2"	"otu.CF.dry"	"otu.CF.wet"	"otu.CF.dry.1"	"otu.CF.wet.1"	"otu.CF.dry.2"	"otu.CF.wet.2"
"Otu7151"	"Chloroflexi"	"Chloroflexi"	"Chloroflexales"	"Chloroflexaceae"	"Roseiflexus"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7152"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7153"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7154"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7155"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7156"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7157"	"Candidate_division_OP10"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7158"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7159"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7160"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7161"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Nannocystineae"	"Haliangiaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7162"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7163"	"Bacteroidetes"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7164"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7165"	"Proteobacteria"	"Betaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7166"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7167"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7168"	"Candidate_division_TM7"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7169"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7170"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7171"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7172"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"DA111"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7173"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7174"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7175"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"0319-6G20"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7176"	"Actinobacteria"	"Actinobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7177"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7178"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7179"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7180"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7181"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7182"	"Cyanobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7183"	"Planctomycetes"	"Phycisphaerae"	"WD2101"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7184"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7185"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7186"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7187"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7188"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7189"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7190"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7191"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"Flavisolibacter"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7192"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7193"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7194"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Methylobacterium"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7195"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7196"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7197"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7198"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7199"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7200"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7201"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7202"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Streptomycineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7203"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7204"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7205"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7206"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7207"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Nannocystineae"	"Haliangiaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7208"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7209"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7210"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7211"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylocystaceae"	"uncultured"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7212"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7213"	"Candidate_division_TM7"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7214"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7215"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micrococcineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7216"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7217"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7218"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7219"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7220"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7221"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7222"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7223"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7224"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7225"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7226"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7227"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7228"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7229"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7230"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7231"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7232"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7233"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7234"	"Actinobacteria"	"Actinobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7235"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7236"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Blastobacter"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7237"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7238"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7239"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7240"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Pseudonocardineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7241"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7242"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7243"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7244"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7245"	"Cyanobacteria"	"SubsectionIII"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7246"	"Gemmatimonadetes"	"Gemmatimonadetes"	"S0134"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7247"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7248"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Koribacter"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7249"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7250"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7251"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7252"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7253"	"Proteobacteria"	"Gammaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7254"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Corynebacterineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7255"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7256"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7257"	"Actinobacteria"	"Actinobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7258"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7259"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Pseudonocardineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7260"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7261"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7262"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7263"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7264"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7265"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Otu7266"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7267"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7268"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Frankineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7269"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dyella"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7270"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7271"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7272"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Otu7273"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7274"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7275"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7276"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7277"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7278"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Otu7279"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"AKIW543"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Otu7280"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7281"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7282"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7283"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7284"	"Planctomycetes"	"Phycisphaerae"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7285"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7286"	"Chloroflexi"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Otu7287"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu7288"	"Candidate_division_TM7"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
